raceId,year,round,circuitId,name,date,time,url,date_parsed
1,2009,1,1,australian grand prix,2009-03-29,06:00:00,http://en.wikipedia.org/wiki/2009_australian_grand_prix,2009-03-29
2,2009,2,2,malaysian grand prix,2009-04-05,09:00:00,http://en.wikipedia.org/wiki/2009_malaysian_grand_prix,2009-04-05
3,2009,3,17,chinese grand prix,2009-04-19,07:00:00,http://en.wikipedia.org/wiki/2009_chinese_grand_prix,2009-04-19
4,2009,4,3,bahrain grand prix,2009-04-26,12:00:00,http://en.wikipedia.org/wiki/2009_bahrain_grand_prix,2009-04-26
5,2009,5,4,spanish grand prix,2009-05-10,12:00:00,http://en.wikipedia.org/wiki/2009_spanish_grand_prix,2009-05-10
6,2009,6,6,monaco grand prix,2009-05-24,12:00:00,http://en.wikipedia.org/wiki/2009_monaco_grand_prix,2009-05-24
7,2009,7,5,turkish grand prix,2009-06-07,12:00:00,http://en.wikipedia.org/wiki/2009_turkish_grand_prix,2009-06-07
8,2009,8,9,british grand prix,2009-06-21,12:00:00,http://en.wikipedia.org/wiki/2009_british_grand_prix,2009-06-21
9,2009,9,20,german grand prix,2009-07-12,12:00:00,http://en.wikipedia.org/wiki/2009_german_grand_prix,2009-07-12
10,2009,10,11,hungarian grand prix,2009-07-26,12:00:00,http://en.wikipedia.org/wiki/2009_hungarian_grand_prix,2009-07-26
11,2009,11,12,european grand prix,2009-08-23,12:00:00,http://en.wikipedia.org/wiki/2009_european_grand_prix,2009-08-23
12,2009,12,13,belgian grand prix,2009-08-30,12:00:00,http://en.wikipedia.org/wiki/2009_belgian_grand_prix,2009-08-30
13,2009,13,14,italian grand prix,2009-09-13,12:00:00,http://en.wikipedia.org/wiki/2009_italian_grand_prix,2009-09-13
14,2009,14,15,singapore grand prix,2009-09-27,12:00:00,http://en.wikipedia.org/wiki/2009_singapore_grand_prix,2009-09-27
15,2009,15,22,japanese grand prix,2009-10-04,05:00:00,http://en.wikipedia.org/wiki/2009_japanese_grand_prix,2009-10-04
16,2009,16,18,brazilian grand prix,2009-10-18,16:00:00,http://en.wikipedia.org/wiki/2009_brazilian_grand_prix,2009-10-18
17,2009,17,24,abu dhabi grand prix,2009-11-01,11:00:00,http://en.wikipedia.org/wiki/2009_abu_dhabi_grand_prix,2009-11-01
18,2008,1,1,australian grand prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_australian_grand_prix,2008-03-16
19,2008,2,2,malaysian grand prix,2008-03-23,07:00:00,http://en.wikipedia.org/wiki/2008_malaysian_grand_prix,2008-03-23
20,2008,3,3,bahrain grand prix,2008-04-06,11:30:00,http://en.wikipedia.org/wiki/2008_bahrain_grand_prix,2008-04-06
21,2008,4,4,spanish grand prix,2008-04-27,12:00:00,http://en.wikipedia.org/wiki/2008_spanish_grand_prix,2008-04-27
22,2008,5,5,turkish grand prix,2008-05-11,12:00:00,http://en.wikipedia.org/wiki/2008_turkish_grand_prix,2008-05-11
23,2008,6,6,monaco grand prix,2008-05-25,12:00:00,http://en.wikipedia.org/wiki/2008_monaco_grand_prix,2008-05-25
24,2008,7,7,canadian grand prix,2008-06-08,17:00:00,http://en.wikipedia.org/wiki/2008_canadian_grand_prix,2008-06-08
25,2008,8,8,french grand prix,2008-06-22,12:00:00,http://en.wikipedia.org/wiki/2008_french_grand_prix,2008-06-22
26,2008,9,9,british grand prix,2008-07-06,12:00:00,http://en.wikipedia.org/wiki/2008_british_grand_prix,2008-07-06
27,2008,10,10,german grand prix,2008-07-20,12:00:00,http://en.wikipedia.org/wiki/2008_german_grand_prix,2008-07-20
28,2008,11,11,hungarian grand prix,2008-08-03,12:00:00,http://en.wikipedia.org/wiki/2008_hungarian_grand_prix,2008-08-03
29,2008,12,12,european grand prix,2008-08-24,12:00:00,http://en.wikipedia.org/wiki/2008_european_grand_prix,2008-08-24
